year,mon,day,dow,hour,chr,cday,date,datetime
2019,1,8,6,12,181,8,20190108,2019010812
2019,1,8,6,13,182,8,20190108,2019010813
2019,1,8,6,14,183,8,20190108,2019010814
2019,1,8,6,15,184,8,20190108,2019010815
2019,1,8,6,16,185,8,20190108,2019010816
2019,1,8,6,17,186,8,20190108,2019010817
2019,1,8,6,18,187,8,20190108,2019010818
2019,1,8,6,19,188,8,20190108,2019010819
2019,1,8,6,20,189,8,20190108,2019010820
2019,1,8,6,21,190,8,20190108,2019010821
2019,1,8,6,22,191,8,20190108,2019010822
2019,1,8,6,23,192,8,20190108,2019010823
2019,1,9,7,0,193,9,20190109,2019010900
2019,1,9,7,1,194,9,20190109,2019010901
2019,1,9,7,2,195,9,20190109,2019010902
2019,1,9,7,3,196,9,20190109,2019010903
2019,1,9,7,4,197,9,20190109,2019010904
2019,1,9,7,5,198,9,20190109,2019010905
2019,1,9,7,6,199,9,20190109,2019010906
2019,1,9,7,7,200,9,20190109,2019010907
2019,1,9,7,8,201,9,20190109,2019010908
2019,1,9,7,9,202,9,20190109,2019010909
2019,1,9,7,10,203,9,20190109,2019010910
2019,1,9,7,11,204,9,20190109,2019010911
2019,1,9,7,12,205,9,20190109,2019010912
2019,1,9,7,13,206,9,20190109,2019010913
2019,1,9,7,14,207,9,20190109,2019010914
2019,1,9,7,15,208,9,20190109,2019010915
2019,1,9,7,16,209,9,20190109,2019010916
2019,1,9,7,17,210,9,20190109,2019010917
2019,1,9,7,18,211,9,20190109,2019010918
2019,1,9,7,19,212,9,20190109,2019010919
2019,1,9,7,20,213,9,20190109,2019010920
2019,1,9,7,21,214,9,20190109,2019010921
2019,1,9,7,22,215,9,20190109,2019010922
2019,1,9,7,23,216,9,20190109,2019010923
2019,1,10,1,0,217,10,20190110,2019011000
2019,1,10,1,1,218,10,20190110,2019011001
2019,1,10,1,2,219,10,20190110,2019011002
2019,1,10,1,3,220,10,20190110,2019011003
2019,1,10,1,4,221,10,20190110,2019011004
2019,1,10,1,5,222,10,20190110,2019011005
2019,1,10,1,6,223,10,20190110,2019011006
